잔여표시관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,잔여표시관리번호,연번-이력ID,위치정보,FRM_CDE,MNG_AGEN,XGEO,A074_RGB_CDE
25-0000011689,02-0000135133,321,-,-,200608.39961,552262.18101,-,006,001,1  ,4311802    ,001,2014-0101-049,25-011689,14006,1,003,-,,001
25-0000011726,02-0000179700,334,20141110  ,20141110  ,196777.720328498,551294.304241858,INTT,006,002,1  ,3249203    ,001,2014-0201-018,25-011726,14043,1,001,-,,001
25-0000009339,02-0000110243,181,20130208  ,20140920  ,213767.22733586,549629.93946992,-,006,002,1  ,6285174    ,001,2014-0201-045,25-009339,7165,1,004,-,,001
25-0000006941,02-0000071534,336,20110125  ,20220725  ,204433.200000028,554060.231244394,관급,001,002,1  ,4394562    ,001,2023-0101-036,25-006941,4732,1,004,-,,001
25-0000011664,02-0000179553,292,20140730,20140730,185951.95535,549850.58188,양광시스템,001,002,1  ,1226511    ,001,2014-0201-050,25-011664,13981,1,001,-,,001
25-0000011650,02-0000179537,113,20140730  ,20140730  ,185525.962499911,549858.137493897,양광시스템,006,002,1  ,1216623    ,001,2014-0201-050,25-011650,13967,1,004,-,,001
25-0000011684,02-0000179657,97 ,20000101  ,20000101  ,185838.412499912,546435.081243492,-,006,002,1  ,1129335    ,001,2014-0201-056,25-011684,14001,1,004,-,,001
25-0000006942,02-0000071533,157,20110125  ,20220725  ,204433.60727,554039.93537,관급,001,002,1  ,4394552    ,001,2023-0101-036,25-006942,4731,1,004,-,,001
25-0000001646,02-0000067035,335,20070601  ,20141211  ,200330.943749047,552401.938011853,-,006,002,1  ,4311332    ,001,2014-0401-005,25-001646,4429,1,004,-,,001
25-0000011765,02-0000179864,315,20140729  ,20140729  ,202695.842210168,556630.808734032,-,001,002,1  ,4369074    ,001,2014-0101-082,25-011765,14082,1,002,-,,001
25-0000011759,02-0000179863,153,20141223  ,20141223  ,197738.762499987,552718.549994238,아이엔티티,006,002,1  ,33611910   ,001,2014-0101-115,25-011759,14076,1,001,-,,001
25-0000011809,02-0000170728,162,20141212  ,20141212  ,185576.476158947,546334.140482652,양광시스템,006,002,1  ,1119712    ,001,2014-0101-135,25-011809,14126,1,001,-,,001
25-0000010910,02-0000062218,332,20140519,20150124,187966.12875,547005.6433,신한교통,001,002,0  ,1260551    ,001,2014-0101-137,25-010910,13227,1,004,-,,001
25-0000011207,02-0000022887,69 ,20140609  ,20140609  ,193571.937499961,542210.293743007,-,001,002,1  ,2170793    ,001,-,25-011207,13524,1,001,-,,001
25-0000001580,02-0000039083,308,20090822,20090822,205259.63888,545392.51901,명신전기,006,001,1  ,-,001,2014-0101-103,25-001580,2951,1,003,-,,001
25-0000000914,02-0000038187,0  ,20070601,20070601,203117.11023,545953.86697,-,006,001,0  ,-,001,2014-0101-103,25-000914,2885,1,003,-,,001
25-0000011933,02-0000180337,288,20141224,20141224,200658.98367,555481.17236,INTT,006,002,1  ,4317942    ,001,2014-0201-080,25-011933,14250,1,001,-,,001
25-0000011910,02-0000180272,126,-,-,196113.65769,549583.33224,-,001,001,1  ,3225861    ,001,2014-0101-031,25-011910,14227,1,004,-,,001
25-0000003530,02-0000156605,0  ,20081211,20081211,196105.11302,549572.97029,.,006,001,1  ,-,001,2014-0101-031,25-003530,9464,1,003,-,,001
25-0000004953,02-0000068836,55 ,20091217  ,20220726  ,206341.82829,552738.79489,관급,001,002,0  ,5331392    ,001,2023-0101-036,25-004953,4540,1,004,-,,001
25-0000005847,02-0000002139,223,20100219,20100603,194260.03103,554117.38017,진우산전,006,001,1  ,-,001,2014-0101-031,25-005847,156,1,003,-,,001
25-0000011906,02-0000175557,127,20141010  ,20141010  ,192411.824999953,551077.931244044,(주)양광시스템,006,002,0  ,2258466    ,001,2014-0101-031,25-011906,14223,1,001,-,,001
25-0000020847,02-0000067665,-,20220715  ,20220715  ,-,-,관급,001,002,1  ,4382623    ,001,2023-0101-036,25-020847,23164,-,001,-,,001
25-0000011916,02-0000162744,351,20141202  ,-,192938.061775811,557653.204877697,(주)양광시스템,006,002,0  ,2461582    ,001,2015-0101-003,25-011916,14233,1,001,-,,001
25-0000004529,02-0000069970,330,20000101  ,20150213  ,196043.962499976,548067.237493693,관급,006,002,0  ,3222762    ,001,2015-0101-004,25-004529,4612,1,002,-,,001
